staff_id,name,role,department,contact_number
1,Deanna Medina,Nurse,Oncology,001-476-973-5779
2,Karen Scott,Doctor,Neurology,(335)658-8043x4165
3,Timothy Woods,Nurse,Oncology,(394)237-3334x333
4,Sara Kelly,Technician,General Medicine,001-111-790-8075x95794
5,William Moon IV,Nurse,Neurology,920.867.8085
6,Michael Thompson,Doctor,Oncology,875-003-6915
7,Scott Lopez,Therapist,Oncology,347-955-2763x655
8,Diana White,Nurse,Neurology,(931)438-6632
9,Nancy Kennedy,Doctor,General Medicine,2672885744
10,Laura Ross,Technician,Cardiology,001-203-471-7545x588
11,Deanna Smith,Technician,Oncology,593-998-2455
12,Katherine Doyle,Nurse,Orthopedics,694-722-5699
13,Terry Miller,Technician,General Medicine,355-449-6475x98762
14,Alexander Luna,Nurse,Orthopedics,+1-413-261-1178x00681
15,Luke Miller,Nurse,Orthopedics,(433)472-2820x0557
16,Seth Donovan,Doctor,Oncology,+1-728-299-7968
17,Kimberly Stout,Doctor,Neurology,831.745.6424x0082
18,John Smith,Doctor,Oncology,740.649.3085x3686
19,Christopher Mclaughlin,Nurse,Neurology,(634)163-8944x8463
20,Catherine Roberts,Therapist,Orthopedics,+1-797-497-3502x0802
21,Diane Martinez,Nurse,Orthopedics,031.207.3564x757
22,Amanda Miller,Nurse,General Medicine,001-204-618-7234x60136
23,Jessica Rojas,Doctor,General Medicine,3718376452
24,Amanda Pineda,Technician,Orthopedics,147.435.0313x65024
25,Jennifer Sanchez,Therapist,Neurology,9792513271
26,Gina Booker,Technician,General Medicine,001-005-281-2735x85730
27,Heather Taylor,Nurse,Neurology,7784873928
28,Nicholas Hill,Nurse,Oncology,+1-821-827-4485x708
29,Cody Smith,Therapist,Orthopedics,(935)186-3878x294
30,Martin Rodriguez,Technician,Neurology,102.203.1731x09678
31,Leslie Williams,Therapist,General Medicine,910.371.7058
32,Stephanie Short,Technician,General Medicine,001-094-801-4138x113
33,Chelsey Fox,Therapist,Orthopedics,928.861.9576
34,Carol White,Nurse,Neurology,(852)897-5585x5665
35,Kristine Lewis,Nurse,Oncology,001-845-776-0049x08240
36,Daniel Foley,Doctor,General Medicine,4888992107
37,Charles Richardson,Technician,Neurology,001-334-419-6931
38,Rebecca Thompson,Doctor,Neurology,001-919-409-6105x566
39,Barbara Townsend,Doctor,Oncology,001-906-048-0589x2583
40,Michael Osborn,Doctor,Orthopedics,998.136.4622x517
